cpu_utilization,memory_usage,disk_io,network_latency,process_count,thread_count,context_switches,cache_miss_rate,temperature,power_consumption,uptime,status,status_label,cpu_level,memory_level,latency_level,temperature_level,cpu_utilization_norm,memory_usage_norm,network_latency_norm,temperature_norm,power_consumption_norm,system_pressure_score,pressure_level
40.58131129049944,43.62767366200286,36.76991723850855,127.9907691060626,646,3230,1500,0.0658369893820747,82.78240343845506,255.01296448400055,715.8030959375785,0,Normal,Medium,Low,High,Critical,0.37463861340922655,0.37357008499039246,0.6382770047578165,0.8121023099225362,0.8201301963763142,0.6037436418912572,Medium
95.31785910894205,39.962088660826296,10.041087784336868,92.39919825330443,626,3130,243,0.1234813498035607,59.42453985412402,81.20482184162785,86.15831431851355,0,Normal,High,Low,Medium,Warning,0.9509822237862713,0.3328318741028869,0.45938622001783497,0.4526706993919501,0.12468267528788178,0.46411073851736495,Medium
74.53942447208348,25.853852125257404,17.985345024124424,192.93520644792423,101,303,229,0.0254593027847384,90.97336292539173,210.68506679794487,545.7559820455183,0,Normal,High,Low,High,Critical,0.732197544922115,0.1760371701054794,0.9647015227608441,0.9381450770425304,0.6427637848137665,0.6907690199289471,High
61.87255599871848,64.65400030913392,33.500751206033094,44.5767117458634,52,156,1574,0.1788837914876991,37.34428025818598,90.39818153273794,541.9181368779015,0,Normal,Medium,Medium,Low,Normal,0.598822880295374,0.6072503649090036,0.21902025879276765,0.11289890310381236,0.16146748358545435,0.3398919781372824,Medium
19.82177084203147,52.8961744457766,24.62237788169952,117.9834267837892,126,378,1164,0.1675078436016188,40.203941987512586,87.09908522661746,113.66068793772358,0,Normal,Low,Medium,High,Normal,0.15605287922072456,0.47657741926832903,0.5879779795026728,0.15690347643448493,0.14826701833081818,0.3051557545514059,Low
19.81947943193925,87.91308930916033,37.1899808931098,140.3417929830543,696,2784,1814,0.0999440947752032,30.118589583946555,162.30748501197212,471.7495962502912,0,Normal,Low,High,High,Normal,0.15602875202202388,0.865744895094554,0.7003558706454138,0.001709725769120982,0.4491936285608824,0.434606574418399,Medium
10.517943155978948,12.889862243385242,48.09918715992013,165.28733337973094,887,2661,1137,0.1034333084549117,44.11252313312767,171.3866847726472,250.50468334743667,0,Normal,Low,Low,High,Normal,0.05808905335630443,0.03195927978737759,0.8257374480921023,0.21704885792392592,0.4855216559538225,0.32367125902270655,Low
87.28673384861884,67.94811347996136,6.710787698044677,81.98723505517341,631,3155,1073,0.1774589469673769,72.72193621235908,76.02673057147024,167.36902206643285,0,Normal,High,Medium,Medium,Critical,0.8664192048820101,0.6438601494310934,0.40705348441301903,0.6572914932264587,0.10396390640252318,0.5357176476710208,Medium
62.10592611560484,78.66539906604051,35.768818103504984,137.69745962383882,723,3615,1089,0.0195830968469034,77.01647875926992,177.95282072330514,82.95989583214894,0,Normal,Medium,Medium,High,Critical,0.601280130178332,0.7629688429158104,0.6870648902697188,0.7233760620722055,0.5117943201719227,0.6572968491215979,Medium
72.26689489062431,78.35379122694764,12.286863625973613,61.337092805472274,657,3285,1556,0.037337374740709,57.946067324821655,94.12429120107342,194.13759614247596,0,Normal,High,Medium,Medium,Warning,0.7082691468797103,0.7595057269714002,0.30326148918685136,0.4299199131133257,0.17637653038126205,0.47546656130650994,Medium
6.955526958101233,89.74665703859726,21.309359642970893,87.65974238000223,65,130,1867,0.0685208351614894,46.72828538670501,187.66095544133827,645.2597663011458,0,Normal,Low,High,Medium,Normal,0.02057890894674556,0.8861226161989209,0.435564709471895,0.2573002977088178,0.550638865205354,0.4300410795063467,Medium
97.14143595538944,75.61303685465447,2.6102735639618517,179.22979910947643,279,1395,1556,0.0792330114112692,76.56143430150235,258.02653303995936,729.6089834650659,0,Normal,High,Medium,High,Critical,0.9701834139484202,0.7290458059564752,0.8958152383060508,0.7163738222599937,0.8321881975148677,0.8287212955971615,High
84.08205087604007,93.50290554829267,7.659461732342248,190.0316142568599,953,2859,638,0.1976148877430598,41.21963343298384,71.48739723524338,229.3177617059858,0,Normal,High,High,High,Normal,0.8326757806409297,0.9278684340928541,0.9501074525026575,0.17253297143216828,0.08580095921213395,0.5937971195761488,Medium
